"Alert Type","IP Address","Severity","Confidence","Risk Score","Status","Source","Timestamp","Description"
"Suspicious Process Execution","10.244.213.155","High","82%","71","New","rule-engine","5/10/2026, 9:15:19 PM","-"
"Brute Force","192.168.1.44","High","82%","71","New","rule-engine","5/10/2026, 2:53:53 PM","-"
"DDoS / DoS","192.168.1.12","Critical","95%","91","New","rule-engine","5/10/2026, 2:53:53 PM","-"
"ML Detection","192.168.1.207","Critical","98%","96","New","ids-engine-ml","4/27/2026, 2:32:32 PM","-"
"ML Detection","192.168.1.207","Critical","98%","96","New","ids-engine-ml","4/27/2026, 2:32:29 PM","-"
"ML Detection","192.168.1.207","Critical","98%","96","New","ids-engine-ml","4/27/2026, 2:22:32 PM","-"
"ML Detection","192.168.1.207","Critical","98%","96","New","ids-engine-ml","4/27/2026, 2:22:29 PM","-"
"ML Detection","192.168.1.207","Critical","98%","96","New","ids-engine-ml","4/27/2026, 2:12:29 PM","-"
"ML Detection","192.168.1.207","Critical","98%","96","New","ids-engine-ml","4/27/2026, 2:02:31 PM","-"
"ML Detection","192.168.1.207","Critical","98%","96","New","ids-engine-ml","4/27/2026, 1:52:30 PM","-"
"ML Detection","192.168.1.207","Critical","98%","96","New","ids-engine-ml","4/27/2026, 1:42:30 PM","-"
"ML Detection","192.168.1.207","Critical","98%","96","New","ids-engine-ml","4/27/2026, 1:42:28 PM","-"
"ML Detection","192.168.1.207","Critical","98%","96","New","ids-engine-ml","4/27/2026, 1:32:30 PM","-"
"ML Detection","192.168.1.207","Critical","98%","96","New","ids-engine-ml","4/27/2026, 1:32:27 PM","-"
"ML Detection","192.168.1.207","Critical","98%","96","New","ids-engine-ml","4/27/2026, 1:22:30 PM","-"
"ML Detection","192.168.1.207","Critical","98%","96","New","ids-engine-ml","4/27/2026, 1:22:27 PM","-"
"ML Detection","127.0.0.1","Critical","98%","96","New","ids-engine-ml","4/27/2026, 1:22:15 PM","-"
"ML Detection","127.0.0.1","Critical","98%","96","New","ids-engine-ml","4/27/2026, 1:22:15 PM","-"
"ML Detection","10.93.22.155","Critical","98%","96","New","ids-engine-ml","4/27/2026, 11:16:55 AM","-"
"ML Detection","10.93.22.155","Critical","98%","96","New","ids-engine-ml","4/27/2026, 11:06:54 AM","-"
